company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Osel Odebrecht Servicos No Exterio Ltda,Brazil,nonresidential construction,785.3,4000.0,,True,False,False,False
Total Fina Elf SA Ep Angola,France,oil and gas exploration,9.9,800.0,,False,True,False,False
Inudstrias Termicas De Angola Sarl,United Kingdom,heating and air condition supplies,4.1,12.0,1968.0,False,False,False,False
Cabinda Gulf Oil Company Ltd.,United States,petroleum refining,,1800.0,,False,False,False,False
Blackwood Hodge Angola Ltda,Portugal,industrial machinery and equipment,,50.0,1991.0,False,False,True,False
Fina Petroleos De Angola S A R L,France,drilling oil and gas wells,,650.0,1957.0,False,True,False,False
Hull Blyth (Angola) Ltd.,United Kingdom,other water transport,,400.0,,False,False,False,False
Braspetro Oil Services Company,Brazil,drilling oil and gas wells,,280.0,,True,True,False,False
Uniao Comercial De Automoveis S A R L,United Kingdom,cars and other motor vehicles,,220.0,,False,False,False,False
Sociedade Comercial Luso-Holadesa S A R L,United Kingdom,electrical appliances,,180.0,1941.0,False,False,False,False
Robert Hudson Ltd.,Portugal,cars and other motor vehicles,,150.0,1926.0,False,False,True,False
Toyota do Angola S A R L,Japan,motor vehicles sales,,142.0,1994.0,False,False,False,False
Tintas Cin De Angola S A R L,Portugal,paints varnishes and supplies,,60.0,,False,False,True,False
Braspetro Oil Services Company,Brazil,drilling oil and gas wells,,10.0,,True,True,False,False
Foraid Angola,France,,,,,False,False,False,False
Friedlander Angola,France,,,,,False,False,False,False
Universal Sodexho Angola,France,,,,,False,False,False,False
Inalca Angola Ltda,Italy,,,,,False,False,False,False
Cargo Aerea Fretamentos Expresso Transitos Ltda,Switzerland,,,,,False,False,False,False
I C I Angola Ltda,United Kingdom,,,,,False,False,False,False
Johnson and Johnson Angola Ltda,United Kingdom,orthopedic/prosthetic appliances,,,,False,False,False,False
Pfizer Ltda,United States,chemicals,,,,False,False,False,False
Sarel S A R L,United Kingdom,,,,,False,False,False,False
Panalpina Transportes Mundiais,Switzerland,,,,,False,False,False,False
Zuid Casa Holandesa Lda,Netherlands,nondurable goods,,,,False,False,False,False
